Genus,Specific_epithet (species),Subspecies,English_name,,Family ,Tribe 
Psittacus,erithacus,NA,Grey Parrot,,Psittacidae,Psittacini
Poicephalus,gulielmi,massaicus,Red-fronted Parrot,,Psittacidae,Psittacini
Poicephalus,flavifrons,NA,Yellow-fronted Parrot,,Psittacidae,Psittacini
Poicephalus,fuscicollis,NA,Brown-necked Parrot,,Psittacidae,Psittacini
Poicephalus,robustus,NA,Cape Parrot,,Psittacidae,Psittacini
Poicephalus,meyeri,NA,Meyer's Parrot,,Psittacidae,Psittacini
Poicephalus,rueppellii,NA,Rüppell's Parrot,,Psittacidae,Psittacini
Poicephalus,cryptoxanthus,tanganyikae,Brown-headed Parrot,,Psittacidae,Psittacini
Poicephalus,senegalus,NA,Senegal Parrot,,Psittacidae,Psittacini
Poicephalus,senegalus,NA,Poicephalus,senegalus,NA,Poicephalus
Poicephalus,senegalus,senegalus,Senegal Parrot,,Psittacidae,Psittacini
Poicephalus,Poicephalus,Poicephalus,Poicephalus,Poicephalus,Poicephalus,Poicephalus
Poicephalus,rufiventris,NA,Red-bellied Parrot,,Psittacidae,Psittacini
Touit,batavicus,NA,Lilac-tailed Parrotlet,,Psittacidae,Incertaesedis 
Touit,huetii,NA,Scarlet-shouldered Parrotlet,,Psittacidae,Incertaesedis 
Touit,dilectissimus,NA,Blue-fronted Parrotlet,,Psittacidae,Incertaesedis 
Touit,purpuratus,NA,Sapphire-rumped Parrotlet,,Psittacidae,Incertaesedis 
Touit,melanonotus,NA,Brown-backed Parrotlet,,Psittacidae,Incertaesedis 
Touit,stictopterus,NA,Spot-winged Parrotlet,,Psittacidae,Incertaesedis 
Psilopsiagon,aurifrons,margaritae,Mountain Parakeet,,Psittacidae,Incertaesedis 
Bolborhynchus,lineola,NA,Barred Parakeet,,Psittacidae,Incertaesedis 
Bolborhynchus,ferrugineifrons,NA,Rufous-fronted Parakeet,,Psittacidae,Incertaesedis 
Bolborhynchus,orbygnesius,NA,Andean Parakeet,,Psittacidae,Incertaesedis 
Nannopsittaca,panychlora,NA,Tepui Parrotlet,,Psittacidae,Incertaesedis 
Myiopsitta,monachus,NA,Monk Parakeet,,Psittacidae,Incertaesedis 
Myiopsitta,monachus,cotorra,Monk Parakeet,,Psittacidae,Incertaesedis 
Myiopsitta,luchsi,NA,Cliff Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,sanctithomae,NA,Tui Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,tirica,NA,Plain Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,versicolurus,NA,White-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chiriri,NA,Yellow-chevroned Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chiriri,chiriri,Yellow-chevroned Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,pyrrhoptera,NA,Grey-cheeked Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,jugularis,jugularis,Orange-chinned Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,jugularis,NA,Orange-chinned Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,cyanoptera,cyanoptera,Cobalt-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,cyanoptera,NA,Cobalt-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chrysoptera,NA,Golden-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chrysoptera,chrysoptera,Golden-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chrysoptera,solimoensis,Golden-winged Parakeet,,Psittacidae,Incertaesedis 
Brotogeris,chrysoptera,chrysosema,Golden-winged Parakeet,,Psittacidae,Incertaesedis 
Pionopsitta,pileata,NA,Pileated Parrot,,Psittacidae,Androglossini
Triclaria,malachitacea,NA,Blue-bellied Parrot,,Psittacidae,Androglossini
Pyrilia,haematotis,coccinicollaris,Brown-hooded Parrot,,Psittacidae,Androglossini
Pyrilia,haematotis,NA,Brown-hooded Parrot,,Psittacidae,Androglossini
Pyrilia,pyrilia,NA,Saffron-headed Parrot,,Psittacidae,Androglossini
Pyrilia,pulchra,NA,Rose-faced Parrot,,Psittacidae,Androglossini
Pyrilia,barrabandi,barrabandi,Orange-cheeked Parrot,,Psittacidae,Androglossini
Pyrilia,barrabandi,NA,Orange-cheeked Parrot,,Psittacidae,Androglossini
Pyrilia,aurantiocephala,NA,Bald Parrot,,Psittacidae,Androglossini
Pyrilia,vulturina,NA,Vulturine Parrot,,Psittacidae,Androglossini
Hapalopsittaca,amazonina,NA,Rusty-faced Parrot,,Psittacidae,Androglossini
Hapalopsittaca,amazonina,velezi,Rusty-faced Parrot,,Psittacidae,Androglossini
Hapalopsittaca,amazonina,amazonina,Rusty-faced Parrot,,Psittacidae,Androglossini
Hapalopsittaca,fuertesi,NA,Fuertes's Parrot,,Psittacidae,Androglossini
Hapalopsittaca,pyrrhops,NA,Red-faced Parrot,,Psittacidae,Androglossini
Pionus,fuscus,NA,Dusky Parrot,,Psittacidae,Androglossini
Pionus,sordidus,NA,Red-billed Parrot,,Psittacidae,Androglossini
